Input,Expected Output
adha ZoomMeeting ekanam paeya gaanak thibunaa anee.,අද Zඕම්මේටින්ග් එකනම් පැය ගානක් තිබුනා අනේ.
,
,
,
"adha 5.00 pmmata mama beheth ganna yanna oone,eevelaavata enna amathaka karanna epaa.","අද 5.00 ප්ම්මට මම බෙහෙත් ගන්න යන්න ඕනෙ,ඒවෙලාවට එන්න අමතක කරන්න එපා."
,
,
,
mama othanata enavaa haebaeyi aavaata passee mama naraka minihaa kiyannepaa dhannavanee magee haeti..thamuselaa sellam karee vaeradhi minihath ekka.,මම ඔතනට එනවා හැබැයි ආවාට පස්සේ මම නරක මිනිහා කියන්නෙපා දන්නවනේ මගේ හැටි..තමුසෙලා සෙල්ලම් කරේ වැරදි මිනිහත් එක්ක.
,
,
,
